ID,Aktivität,Teil,n,Bezeichnung,Gruppe
879,KK-SK343-75-AA-018,KK-SK343-75-AA-018,67,Kühlkörper SK343 75mm bestückt mit Elektronik und Schrauben,
880,KK-SK343-75-BA-012,KK-SK343-75-BA-012,92,Kühlkörper SK343 75mm bestückt mit Elektronik ohne Schrauben,
881,KK-SK343-75-BA-013,KK-SK343-75-BA-013,33,Kühlkörper SK343 75mm bestückt mit Elektronik ohne Schrauben,
882,KK-SK343-75-BA-014,KK-SK343-75-BA-014,31,Kühlkörper SK343 75mm bestückt mit Elektronik ohne Schrauben,
883,KK-SK343-75-BA-015,KK-SK343-75-BA-015,92,Kühlkörper SK343 75mm bestückt mit Elektronik ohne Schrauben,
884,KK-SK343-75-BA-016,KK-SK343-75-BA-016,53,Kühlkörper SK343 75mm bestückt mit Elektronik ohne Schrauben,
885,KK-SK343-75-BB-017,KK-SK343-75-BB-017,91,Kühlkörper SK343 75mm bestückt mit Elektronik ohne Schrauben,
886,KK-vormontieren,KK-SK343-75-BA,65,Kühlkörper SK343 75mm mit SIL gerade o. Schrauben,
887,KK-vormontieren,KK-SK343-75-BB,34,Kühlkörper SK343 75mm mit SIL versetzt o. Schrauben,
888,KK-vormontieren,BKK-VKF05g-A-K01,23,KK-Platine Ladegeräte Lader 12V bis 40A,
889,KK-vormontieren,BKK-VKF05h-A-K01,10,KK-Platine Ladegeräte Lader 12V bis 40A,
890,Kabelfertigung,08-0369,17,"Flachbandkabel RM1,27 6pol 90mm 2x Micromatch Stecker 1:1",
891,Kabelfertigung,08-0354,15,"Einzelleitung Silikon 1,0mm² 1,1m blau 1:offen 2:3verz",
892,Kabelfertigung,08-0355,15,"Einzelleitung LiY 0,75mm² 1,5m schwarz 1:offen 2:FSH(09-0001)",
893,Kabelfertigung,08-0372,13,"Einzelleitung Silikon 1,0mm² 970mm blau 1:5verz 2:Silikonkappe+Ferrit",
894,Kabelfertigung,08-0095,11,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",
895,Kabelfertigung,08-0387,10,"Einzelleitung Silikon 1,0mm² 1,5m blau 1: geschnitten 2: PVC-Kappe vergossen",
896,Kabelfertigung,08-0388,10,"Einzelleitung Silikon 1,0mm² 3,0m blau 1: geschnitten 2: PVC-Kappe vergossen",
897,Kabelfertigung,08-0373,9,"Einzelleitung LiY 0,75mm² 100mm schwarz 1:(08-0373) 2:(09-0283)",
898,Kabelfertigung,08-0321,6,"Spiralkabel PUR 3x2,5mm² 5m orange 1:50FSH 2:Speakon",
899,Kabelfertigung,08-0201,4,Einzelleitung hochflex 10mm² 90mm rot 1:12geritzt 2:12verz,
900,Kabelfertigung,08-0361,4,Einzelleitung H07V-K 6mm² 200mm rot 1:Ring(09-0136) 2:12geritzt,
901,Kabelfertigung,08-0362,4,Einzelleitung H07V-K 6mm² 220mm schwarz 1:Ring(09-0136) 2:12geritzt,
902,Kabelfertigung,08-0167,3,"Einzelleitung Silikon 1,0mm² 3,25m blau 1:5verz 2:Edelstahlstab",
903,Kabelfertigung,08-0169,3,"Einzelleitung Silikon 1,0mm² 3,25m blau 1:5verz 2:Schrumpfschlauch",
904,Kabelfertigung,08-0221,3,"Einzelleitung LiY 0,75mm² 80mm schwarz 1:AE 2:AE",
905,Kabelfertigung,08-0099,2,"Einzelleitung H05V-K 1,0mm² 60mm schwarz 1: 5verz 2: 5verz mit Schrumpfschlauch",
906,Kabelfertigung,08-0311,2,"Calix Einbaukabel 1,5mm² 2,0m mit Schrumpfschlauch",
907,Kabelfertigung,08-0320,2,"Mantelleitung H07RN-F 2x2,5mm² 2,55m schwarz 1:25/7AE 2:25/7AE",
908,Kabelfertigung,08-0323,2,"Flachbandkabel RM1,27 4pol 450mm in Adaglas-Schlauch 6pol Stiftleiste 2.Seite verzinnt",
909,Kabelfertigung,08-0340,2,Modularkabel 8pol 5m schwarz 2x 8P8C Stecker 1:1 gewickelt mit Gummiring,
910,Kabelfertigung,08-0070a,1,"Mantelleitung H03VV-F 2x0,75mm 20m schwarz 1: 21/7AE 2: 21/7 verz mit Amphenolstecker",
911,Kabelfertigung,08-0199,1,"Zwillingslitze 2x0,14 rt/ws 155mm 1:3-5verz 2:3-5verz",
912,Kabelfertigung,08-0262,1,Modularkabel 6pol 1m schwarz 2x 6P6C Stecker 1:1,
913,Kabelfertigung,08-0314,1,"Ölflexkabel 2x4mm² 4,15m grau 1:30AE 2:50FSH(09-0005)",
914,Kabelfertigung,08-0326,1,"Modularkabel 8pol 2,5m schwarz 2x 8P8C Stecker 1:1 + PG 9 mit Kabelbinder",
915,Kabelfertigung,08-0329,1,"Mantelleitung 4x1,0mm² 1,7m schwarz mit Stecker nach MA-KG20-1",
916,Kabelfertigung,08-0338,1,Modularkabel 8pol 3m schwarz 2x 8P8C Stecker 1:1 gewickelt mit Gummiring,
917,Kabelfertigung,08-0350,1,Modularkabel 8pol 10m schwarz 2x 8P8C Stecker 1:1 gewickelt mit Kabelbinder,
918,Kabelfertigung,08-0379,1,"Mantelleitung H03VV-F 3x0,75mm 1,0m 1: 25/5 AE 2: 70 RingKS M4",
919,Kabelfertigung,08-0427,1,USB-Ladebuchse montiert Checkpanel 714 mit USB A/C,
920,Kabelfertigung,08-0430,1,"Flachbandkabel RM1,27 6pol 120mm 2x Micromatch Stecker 1:1",
921,Kabelfertigung,08-0431,1,"Mantelleitung LIYY 3x0,5mm² 5,0m grau, Adern: gn ws bn 1:17/0 4pol AMP 172159-1 2:17/0 4pol AMP 172167-1",
922,Kabelfertigung,08-0436a,1,"Einzelleitung H07V-K 2,5mm² 195mm braun 1: FSH6,3 blau 2: 3verz abisoliert und verzinnt",
923,Kabelfertigung,08-0437a,1,"Einzelleitung H07V-K 2,5mm² 195mm blau 1: FSH6,3 blau 2: 3verz abisoliert und verzinnt",
924,Kabelfertigung,08-0438a,1,"Einzelleitung H07V-K 2,5mm² 95mm schwarz 1: FSH6,3 blau 2: 3verz abisoliert und verzinnt",
925,Kabelfertigung,08-0439a,1,"Einzelleitung H07V-K 2,5mm² 95mm braun 1: FSH6,3 blau 2: 3verz abisoliert und verzinnt",
926,Kabelfertigung,08-0440a,1,"Einzelleitung H05V-K 0,5mm² 235mm braun 1: AE 2: 3verz abisoliert und verzinnt",
927,Kabelfertigung,08-0441a,1,"Einzelleitung H05V-K 0,5mm² 235mm weiß 1: AE 2: 3verz abisoliert und verzinnt",
928,Kabelfertigung,08-0442a,1,"Einzelleitung H05V-K 0,5mm² 235mm rot 1: AE 2: 3verz abisoliert und verzinnt",
929,Kabelfertigung,08-0443a,1,"Einzelleitung H05V-K 0,5mm² 95mm braun 1: FSH6,3 rot 2: 3 verz abisoliert und verzinnt",
930,Kunststoff-FP silber,UV-2016,2,"Gerät fertig montiert, geprüft Montagerahmen S für Anzeigeteil Inverter",
931,Kühlkörper vormont.,KK-S506-75-AA,2,Kühlkörper S506 75mm mit Madenschrauben und SIL,
932,Lackierung der Baugr,PL-VAF01d-201-00639,25,"Baugruppe geprüft, lackiert VAC 1224-16 Station",
933,Lackierung der Baugr,LA-VAI01a-107,21,Baugruppe lackiert MPP 440 CI nur Speicherdrossel,
934,Lackierung der Baugr,PL-VKF07c-402-00404,20,"Baugruppe geprüft, lackiert MasterBox VBS2 mit 200A-Shunt",
935,Lackierung der Baugr,PL-VKF07c-403-00404,15,"Baugruppe geprüft, lackiert MasterBox VBS2 mit 400A-Shunt",
936,Lackierung der Baugr,PL-VAA05c-101-00265,12,"Baugruppe geprüft, lackiert Info Panel Pro 12V",
937,Lackierung der Baugr,PL-VAE04a-101-00638,11,"Baugruppe geprüft, lackiert TS-Battery Charger PFPN 1204",
938,Lackierung der Baugr,LA-VKA10a-102,6,Baugruppe lackiert Fernanzeige S für Automatic Charger DUO,
939,Lackierung der Baugr,LA-VAE05d-101,5,Baugruppe lackiert Smart Shunt 100-200-400 nur SMD Seite,
940,Lackierung der Baugr,LA-VAI01b-107,5,Baugruppe lackiert MPPT 440 CI nur Speicherdrossel,
941,Lackierung der Baugr,PL-VAE04a-102-00638,5,"Baugruppe geprüft, lackiert TS-Battery Charger PFPN 1204Fc",
942,Lackierung der Baugr,PL-VKF07c-403-00403,5,"Baugruppe geprüft, lackiert MasterBox VBS2 mit 400A-Shunt (Schell)",
943,Lackierung der Baugr,PL-VAF01c-201-00466,4,"Baugruppe geprüft, lackiert VAC 1224-16 Station",
944,Lackierung der Baugr,PL-VAF01cF-112-00450,4,"Baugruppe geprüft, lackiert VAC 1230 F 3A SKII",
945,Lackierung der Baugr,PL-VAF01cF-111-00449,3,"Baugruppe geprüft, lackiert VAC 1215 F 3A SKII",
946,Lackierung der Baugr,PL-VKC07m-101,3,"Baugruppe geprüft, lackiert VAC Leistungsteil 12V 40A",
947,Lackierung der Baugr,PL-VKC07m-201,3,"Baugruppe geprüft, lackiert VAC Leistungsteil 12V 20A",
948,Lackierung der Baugr,PL-VKF05g-105-00476,3,"Baugruppe geprüft, lackiert VAC 1260 M 3A",
949,Lackierung der Baugr,PL-VKF05g-108-00236,3,"Baugruppe geprüft, lackiert VAC 2425 F 3A",
950,Lackierung der Baugr,PL-VAF01c-106-00449,2,"Baugruppe geprüft, lackiert VAC 1215 F 3A",
951,Lackierung der Baugr,PL-VAF01c-201-00468,2,"Baugruppe geprüft, lackiert VAC 2416 Station",
952,Lackierung der Baugr,PL-VAF01cF-113-00451,2,"Baugruppe geprüft, lackiert VAC 2416 F 3A SKII",
953,Lackierung der Baugr,PL-VAG06c-101-00500,2,"Baugruppe geprüft, lackiert VAC 12V 24V DUO max. 60A PFC",
954,Lackierung der Baugr,PL-VAG06c-102-00510,2,"Baugruppe geprüft, lackiert VAC 12V 24V 110V max. 80A PFC",
955,Lackierung der Baugr,PL-VAK03b-101-00163,2,"Baugruppe geprüft, lackiert VAC 2425 Fc 2A FireCan-Board",
956,Lackierung der Baugr,PL-VKF05g-109-00238,2,"Baugruppe geprüft, lackiert VAC 2425 Fc 2A",
957,Lackierung der Baugr,PL-VAA04b-104-10259,1,"Baugruppe geprüft, lackiert Duo-Akku-Tester S 24V (Rheinland)",
958,Lackierung der Baugr,PL-VAC10c-101-00365,1,"Baugruppe geprüft, lackiert SR 150 Duo Digital",
959,Lackierung der Baugr,PL-VAF01c-106-00456,1,"Baugruppe geprüft, lackiert VAC 1215 M 3A",
960,Lackierung der Baugr,PL-VAF01c-106-00457,1,"Baugruppe geprüft, lackiert VAC 1220 M 3A",
961,Lackierung der Baugr,PL-VAF01c-107-00450,1,"Baugruppe geprüft, lackiert VAC 1230 F 3A",
962,Lackierung der Baugr,PL-VAF01c-107-00459,1,"Baugruppe geprüft, lackiert VAC 1230 M 3A",
963,Lackierung der Baugr,PL-VAF01c-109-00448,1,"Baugruppe geprüft, lackiert VAC 2416 M 3A",
964,Lackierung der Baugr,PL-VAF01c-110-00451,1,"Baugruppe geprüft, lackiert VAC 2416 F 3A (Ziegler)",
965,Lackierung der Baugr,PL-VAF01c-203-00469,1,"Baugruppe geprüft, lackiert VAC 1215 Station",
966,Lackierung der Baugr,PL-VAI01a-101-00592,1,"Baugruppe geprüft, lackiert MPP 170 CI Bootsausführung",
967,Lackierung der Baugr,PL-VAI01a-103-00593,1,"Baugruppe geprüft, lackiert MPP 260 CI Bootsausführung",
968,Lackierung der Baugr,PL-VAI01a-107-00595,1,"Baugruppe geprüft, lackiert MPP 440 CI Bootsausführung",
969,Lackierung der Baugr,PL-VKC07m-102,1,"Baugruppe geprüft, lackiert VAC Leistungsteil 12V 40A",
970,Lackierung der Baugr,PL-VKC07m-104,1,"Baugruppe geprüft, lackiert VAC Leistungsteil 12V 50A",
971,Lackierung der Baugr,PL-VKC07m-106,1,"Baugruppe geprüft, lackiert VAC Leistungsteil 24V 20A",
972,Lackierung der Baugr,PL-VKC08e-106-00477,1,"Baugruppe geprüft, lackiert VAC Duo ohne Startüberbr. Steuerteil",
973,Lackierung der Baugr,PL-VKF05g-105-00475,1,"Baugruppe geprüft, lackiert VAC 1250 M 3A",
974,Lackierung der Baugr,PL-VKF05g-106-00207,1,"Baugruppe geprüft, lackiert VAC 1250 F 3A",
975,Lackierung der Baugr,PL-VKF05g-107-00234,1,"Baugruppe geprüft, lackiert VAC 2425 M 3A",
976,Leitung kürzen,08-0178,11,"Einzelleitung LiY 0,75mm² 1,15m schwarz",
977,MA-110736-01,MA-110736-01,1,Gehäusedeckel montiert RMC (GEP),
978,MA-110736-02,MA-110736-02,1,Gehäuseunterteil montiert RMC (GEP),
979,MA-650451-01,MA-650451-01,11,Frontplatte vormontiert (SpinFlow),
980,MA-650453-01,MA-650453-01,8,Frontplatte vormontiert SP1-FB-LT (SpinFlow),
981,MA-LTD-01,MA-LTD-01,6,Gehäuseunterteil VKG1 mit Tülle,
982,MA-Ladeboooster-7,MA-Ladebooster-7,7,Gehäuseunterteil vormontiert TS-Battery Charger PFPN 1204,
983,MA-Ladeboooster-7,MA-Ladebooster-7-Fc,6,Gehäuseunterteil vormontiert TS-Battery Charger PFPN 1204Fc,
984,MA-Ladebooster-7a,MA-Ladebooster-7a,2,Gehäuseunterteil vormontiert TS-Battery Charger PFPN 1204 (Magirus),
985,MA-Tankgeber-18,MA-Tankgeber-18,3,Gehäuseunterteil vormontiert RWS 5V digital Geber,
986,Modularkabel prüfen,08-0403,19,Modularkabel el. geprüft 6pol 1m schwarz 2x 6P6C Stecker 1:1,Modular-Kabel
987,Modularkabel prüfen,08-0393,5,"Modularkabel el. geprüft 8pol 2,5m schwarz 2x 8P8C Stecker 1:1 + PG 9 mit Kabelbinder",Modular-Kabel
988,Modularkabel prüfen,08-0394,4,"Modularkabel el. geprüft 6pol 0,3m schwarz 2x 6P6C Stecker 1:1 gewickelt mit Gummiring",Modular-Kabel
989,Modularkabel prüfen,08-0397,3,"Modularkabel el. geprüft 6pol 2,5m schwarz 2x 6P6C Stecker 1:1 1xPG7 Verschraubung+Mutter",Modular-Kabel
990,Modularkabel prüfen,08-0401,3,"Modularkabel el. geprüft 6pol 1,5m schwarz 2x 6P6C Stecker 1:1 gewickelt mit Gummiring",Modular-Kabel
991,Modularkabel prüfen,08-0396,2,"Modularkabel el. geprüft 6pol 0,5m schwarz 2x 6P6C Stecker 1:1 gewickelt mit Gummiring",Modular-Kabel
992,Modularkabel prüfen,08-0429,1,"Modularkabel el. geprüft 6pol 0,12m schwarz 2x 6P6C Stecker 1:1",Modular-Kabel
993,Montage,MA-Klemme-03,37,Durchführungsklemmen montiert Ladewandler Vo und MT 3 Stück,
994,Montage,MA-Lade-Wandler-03,36,Rückwand vormontiert VCC,
995,Montage,UV-2151,35,"Gerät fertig montiert, geprüft Fehlerstromschutzeinrichtung RCBO Typ 1P+N",
996,Montage,MA-Lader-32k-01,32,"Bodenplatte vormontiert VAC und Pb, Isofolie",
997,Montage,MA-1260-01,31,Frontplatte vormontiert LCD-Batterie-Computer S,
998,Montage,MA-Lader-32,31,"Rückwand vormontiert VAC, VAC Station, Pb SMT 2B",
999,Montage,MA-VBC-08,30,Rückwand vormontiert VAC u. VBCS Triple,
1000,Montage,UV-3063,30,"Gerät fertig montiert, geprüft StandBy-Charger Pro",
1001,Montage,MA-Lader-13-Duo-04,29,Frontplatte vormontiert Wietmarscher VAC Duo,
1002,Montage,MA-LFTR-1,28,Lüfter konfektioniert mit PVC Schlauch 60x60x20,
1003,Montage,MA-Shunt-02-02,27,Baugruppe montiert Smart-Shunt 200A,
1004,Montage,MA-Inverter-13,26,"Bodenplatte vormontiert SMI 1700 Sinus, Lüfter",
1005,Montage,MA-Inverter-14k,25,U-Profil vormontiert SMI 1700,
1006,Montage,MA-Lader-15,25,Rückwand vormontiert VAC 1260 2440,
1007,Montage,MA-Shunt-02-03,24,Baugruppe montiert Smart-Shunt 400A,
1008,Montage,MA-Inverter-11d-04,23,Frontplatte vormontiert SMI 1700 Sinus ST-NVS,
1009,Montage,MA-VBS-3-400,22,Shunt mit Mantelleitung MasterBox VBS2 mit 400A-Shunt,
1010,Montage,MA-BWR-T,21,Befestigungswinkel re. Alu si montiert m. Durchführungstülle,
1011,Montage,MA-VBS-3-200,21,Shunt mit Mantelleitung MasterBox VBS2 mit 200A-Shunt,
1012,Montage,MA-BP-GR-001,20,Bodenplatte vormontiert VAC Duo,
1013,Montage,MA-BWL-T,20,Befestigungswinkel li. Alu si montiert m. Durchführungstülle,
1014,Montage,MA-Inverter-12a,20,Rückwand vormontiert SMI 1700 Sinus,
1015,Montage,MA-Klemme-02,20,Durchführungsklemmen montiert VBCS Triple 4 Stück,
1016,Montage,MA-LFTR-3,19,Lüfter konfektioniert mit PVC Schlauch 60x60x15,
1017,Montage,MA-Lader-13-VAC-06,19,Frontplatte vormontiert VAC 2440 Fc 2A,
1018,Montage,MA-Lader-17-Duo-02,18,"U-Profil vormontiert SMI 1200, VAC, VAC Duo",
1019,Montage,MA-LFTR-2,17,Lüfter konfektioniert mit PVC Schlauch +  Etikett 60x60x25,
1020,Montage,MA-VBC-07-04,16,Frontplatte vormontiert VBCS 30-20-250 Triple CI,
1021,Montage,MA-1250-01,14,Frontplatte vormontiert LCD-Solar-Computer S,
1022,Montage,MA-Inverter-12c,14,Rückwand vormontiert SMI 1700 Frankia,
1023,Montage,MA-BP-KL-001,13,Bodenplatte vormontiert VCC DCDC 1212-45 / 1224-25 VCC DCDC 2412-45 / 2424-25,
1024,Montage,MA-Klemme-04,13,Durchführungsklemmen montiert VAC Duo 4 Stück,
1025,Montage,MA-Lader-13-Duo-01,13,Frontplatte vormontiert VAC 1215\15 Duo ohne Startüberbrückung,
1026,Montage,MA-Lader-42,13,Rückwand vormontiert Pb / VAC,
1027,Montage,MA-Lader-45,13,"Bodenplatte vormontiert VAC und Pb, Iso, Lüfter",
1028,Montage,MA-JapOTO-01,12,JapOTO Sicherung L060JLP montiert m. 2 Flachsteckern,
1029,Montage,MA-Lader-13-Duo-03,12,Frontplatte vormontiert VAC 1230 30 Duo (Wietmarscher),
1030,Montage,MA-FP-KL-005,11,Frontplatte vormontiert VCC 2424-25 IUoU,
1031,Montage,MA-VBC-15-01,11,Frontplatte vormontiert VBCS Triple HV CI,
1032,Montage,UV-158201003,11,"Gerät fertig montiert, geprüft Clesana Power Management LED",
1033,Montage,UV-2152,11,"Gerät fertig montiert, geprüft Fehlerstromschutzeinrichtung RCBO 16-30",
1034,Montage,MA-1247-01,10,Frontplatte vormontiert LCD-Charge-Control S,
1035,Montage,MA-Lader-30-VAC-01,10,U-Profil vormontiert VAC Kleinlader,
1036,Montage,MA-Inverter-12b,9,Rückwand vormontiert SMI 1200 Sinus,
1037,Montage,MA-Inverter-29-02,9,Rückwand vormontiert SMI 300/600 Sinus -NVS 12V,
1038,Montage,MA-Inverter-30-02,9,Bodenplatte vormontiert SMI  600,
1039,Montage,MA-VBC-07-06,9,Frontplatte vormontiert VBCS 60-40-430 Triple CI,
1040,Montage,MA-VBC-12-01,9,Frontplatte vormontiert VAC 45-10/25 60-15/30 TripleCI,
1041,Montage,MA-0090-01,8,Bodenplatte vormontiert Elektro-Verteilung 14/1 (Kompressor Kühlschrank),
1042,Montage,MA-1253-01,8,Frontplatte vormontiert LCD-Thermometer-Uhr S,
1043,Montage,MA-FP-KL-006,8,Frontplatte vormontiert VCC 1212-25/45 2412-45 IUoU-Li,
1044,Montage,MA-Inverter-13a,8,Bodenplatte vormontiert SMI 1200 Sinus,
1045,Montage,MA-Inverter-28a-02,8,Frontplatte vormontiert SMI  600 Sinus,
1046,Montage,MA-Ladebooster-3-14,8,Frontplatte vormontiert VCC 1212-25 IUoU-Li,
1047,Montage,MA-Ladebooster-4-01,8,Rückwand vormontiert VCC 1212-25 IUoU-Li,
1048,Montage,MA-Lader-13-Pb-06,8,Frontplatte vormontiert Pb 1280 SMT Li,
1049,Montage,MA-Lader-32b,8,Rückwand vormontiert VAC F 3A II,
1050,Montage,MA-RW-KL-002,8,Rückwand vormontiert VCC 2412/24-25 + 45 IUoULi,
1051,Montage,MA-VBC-07-05,8,Frontplatte vormontiert VBCS 45-30-350 Triple CI,
1052,Montage,MA-Lade-Wandler-07a,7,U-Profil vormontiert mit Dekorstreifen grün (Bott),
1053,Montage,MA-Lader-15a,7,Rückwand vormontiert VAC 2440 Fc 2A,
1054,Montage,MA-Lader-15e,7,Bodenplatte vormontiert VAC und Pb Lader,
1055,Montage,MA-Lader-40-VAC-01,7,U-Profil vormontiert VAC Mittellader,
1056,Montage,MA-RW-KL-004,7,Rückwand vormontiert DCDC 1224-25 + 1212-45,
1057,Montage,MA-VBC-07-08,7,Frontplatte vormontiert VBCS 60-40-430 HV CI Kabe,
1058,Montage,MA-FP-KL-001,6,Frontplatte vormontiert DCDC 1212-45,
1059,Montage,MA-Lader-13-Duo-02,6,Frontplatte vormontiert VAC 1215\15 Duo,
1060,Montage,MA-Lader-16,6,Leistungsrelais vormontiert VAC 1215/15 Duo,
1061,Montage,MA-Lader-17-Duo-01,6,U-Profil vormontiert VAC Duo Lader,
1062,Montage,MA-Lader-42k,6,Bodenplatte vormontiert Pb 1240 / VAC 1240,
1063,Montage,MA-RW-KL-001,6,Rückwand vormontiert VCC 1212-25 + 45 IUoU-Li,
1064,Montage,MA-111105814-01,5,Bodenplatte vormontiert VZE-Verteiler Schell,
1065,Montage,MA-1256-01,5,Frontplatte vormontiert LCD-Voltmeter S,
1066,Montage,MA-Inverter-11d-02,5,Frontplatte vormontiert SMI 1200 Sinus ST-NVS,
1067,Montage,MA-Lader-13-VAC-04,5,Frontplatte vormontiert VAC 2440 M 2A,
1068,Montage,MA-Lader-32k-02,5,"Bodenplatte vormontiert VAC F 3A II, Isofolie",
1069,Montage,MA-VBC-06-02,5,U-Profil vormontiert VAC Triple,
1070,Montage,MA-1248-01,4,Frontplatte vormontiert LCD-Charge-Control S-VCC,
1071,Montage,MA-BWRa-T,4,Befestigungswinkel re. Alu si montiert m. Durchführungstülle bearbeitet,
1072,Montage,MA-Inverter-11d-01,4,Frontplatte vormontiert SMI 1200 Sinus ST,
1073,Montage,MA-Inverter-11d-03,4,Frontplatte vormontiert SMI 1700 Sinus ST,
1074,Montage,MA-Inverter-28-01,4,Frontplatte vormontiert SMI  300 Sinus -NVS 12V,
1075,Montage,MA-Inverter-30-01,4,Bodenplatte vormontiert SMI  300 Sinus -NVS 12V,
1076,Montage,MA-Lader-13-Pb-04,4,Frontplatte vormontiert Pb\VAC 12V 60-80A u. Duo,
1077,Montage,MA-Lader-13-VAC-05,4,Frontplatte vormontiert VAC 1280 F 2A,
1078,Montage,MA-Lader-32a,4,Rückwand vormontiert VAC 2416 F 3A Ziegler PB 1220 SMT 2B Audi,
1079,Montage,MA-Shunt-01-02,4,Baugruppe vormontiert Smart-Shunt Sockel 200A,
1080,Montage,MA-Shunt-01-03,4,Baugruppe vormontiert Smart-Shunt Sockel 400A,
1081,Montage,MA-0091-01,3,Bodenplatte vormontiert Elektro-Verteilung 24/5,
1082,Montage,MA-131101250-01,3,Frontplatte vormontiert LCD-Solar-Computer S (Hymer),
1083,Montage,MA-155101204-01,3,Frontplatte vormontiert LCD-State-of-Charge-Monitor-S (BOS),
1084,Montage,MA-FP-KL-004,3,Frontplatte vormontiert VCC 2412-45 1212-45 Li,
1085,Montage,MA-Inverter-28a-01,3,Frontplatte vormontiert SMI  600 Sinus,
1086,Montage,MA-Inverter-29-01,3,Rückwand vormontiert SMI 600,
1087,Montage,MA-Lader-13-Pb-03,3,Frontplatte vormontiert Pb 1280 SMT,
1088,Montage,MA-131101204-01,2,Frontplatte vormontiert LCD-State-of-Charge-Monitor-S (Hymer),
1089,Montage,MA-5800-01,2,Frontplatte vormontiert LCD Energy Monitor CI,
1090,Montage,MA-5810-01,2,Bodenplatte vormontiert VZE-M Zentralelektrik,
1091,Montage,MA-720368-01,2,Gehäuseunterteil vormontiert Wechselrichter 3PhW-24/10 (Wöhr) IP65,
1092,Montage,MA-720368-02,2,Gehäusedeckel vormontiert Wechselrichter 3PhW-24/10 (Wöhr) IP65,
1093,Montage,MA-FP-KL-003,2,Frontplatte vormontiert DCDC 2412-25/45,
1094,Montage,MA-Lader-13-VAC-02,2,Frontplatte vormontiert VAC 2430 M 3A 110-230V,
1095,Montage,MA-Lader-42a,2,Rückwand vormontiert VAC 2425 Fc 2A,
1096,Montage,MA-LaderMT-30-102,2,Frontplatte vormontiert BCB 30 40 60 CI (Mobile Technology),
1097,Montage,MA-LaderMT-31-101,2,Rückwand vormontiert BCB 30 40 60 (Mobile Technology),
1098,Montage,MA-LaderMT-32-101,2,Gehäuseunterteil vormontiert BCB 30 40 60 (Mobile Technology),
1099,Montage,MA-LaderMT-33-102,2,Gehäusedeckel vormontiert BCB 30 40 60 CI (Mobile Technology),
1100,Montage,MA-RW-KL-003,2,Rückwand vormontiert DCDC 2412-25 + 45,
1101,Montage,MA-Shunt-02-01,2,Baugruppe montiert Smart-Shunt 100A,
1102,Montage,MA-3084,1,Gerät fertig montiert Battery Protector 300,
1103,Montage,MA-FP-KL-002,1,Frontplatte vormontiert DCDC 1224-25,
1104,Montage,MA-InverterMT-26-03,1,Frontplatte vormontiert SMI 1700 SI-N (Mobile Technology),
1105,Montage,MA-Lader-13-VAC-03,1,Frontplatte vormontiert VAC 1280 M 2 2A flaches U-Profil,
1106,Montage,MA-Lader-17-VAC-01,1,U-Profil vormontiert VAC Lader,
1107,Montage,MA-VIF8b-102,1,Anzeigeeinheit montiert TEO digital Hybrid (GEP),
1108,Montage,MA-VIF8b-103,1,Anzeigeeinheit montiert TEO digital (GEP),
1109,Montage,UV-106102152,1,Gerät fertig montiert RCBO 10-30 (HRZ),
1110,Montage,UV-158101003,1,"Gerät fertig montiert, geprüft Clesana Power Management",
1111,Montage,UV-2153,1,"Gerät fertig montiert, geprüft Fehlerstromschutzeinrichtung RCBO Kombi",
1112,Montage,UV-2154,1,"Gerät fertig montiert, geprüft Fehlerstromschutzeinrichtung RCBO Typ 2P",
1113,Montage,UV-3069,1,"Gerät fertig montiert, geprüft Crash-Sensor CS1",
1114,Montage + Prüfung,UV-2067,24,"Gerät fertig montiert, geprüft Fernbedienung SMI Sinus WR",
1115,Montage + Prüfung,UV-017202067,1,"Gerät fertig montiert, geprüft Fernbedienung MT Sinus WR (Mobile Technology)",
